name,language,stars,forks,creation_date,last_commit_date,repo_url
fastapi,Python,78407,6709,2018-12-08T08:21:47Z,2024-12-04T15:10:30Z,https://github.com/fastapi/fastapi
mall,Java,78355,28888,2018-04-04T01:11:44Z,2024-11-26T08:23:02Z,https://github.com/macrozheng/mall
awesome-mac,JavaScript,77713,6285,2016-07-17T15:33:47Z,2024-12-07T15:06:16Z,https://github.com/jaywcjlove/awesome-mac
FiraCode,Clojure,77514,3108,2014-11-11T19:32:38Z,2024-11-04T13:19:41Z,https://github.com/tonsky/FiraCode
ChatGPT-Next-Web,TypeScript,77360,59491,2023-03-10T18:27:54Z,2024-12-03T03:27:50Z,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web
models,Python,77251,45750,2016-02-05T01:15:20Z,2024-12-03T15:29:22Z,https://github.com/tensorflow/models
rustdesk,Rust,77224,10499,2020-09-28T15:36:08Z,2024-12-07T14:34:54Z,https://github.com/rustdesk/rustdesk
advanced-java,Java,76553,19102,2018-10-06T11:38:30Z,2024-11-30T00:27:46Z,https://github.com/doocs/advanced-java
hugo,Go,76318,7555,2013-07-04T15:26:26Z,2024-12-06T13:37:52Z,https://github.com/gohugoio/hugo
ui,TypeScript,76164,4789,2023-01-04T12:43:27Z,2024-11-13T12:02:51Z,https://github.com/shadcn-ui/ui
LeetCodeAnimation,Java,75559,13986,2018-12-06T08:01:22Z,2023-08-14T12:14:01Z,https://github.com/MisterBooo/LeetCodeAnimation
spring-boot,Java,75496,40756,2012-10-19T15:02:57Z,2024-12-07T03:13:57Z,https://github.com/spring-projects/spring-boot
supabase,TypeScript,74745,7268,2019-10-12T05:56:49Z,2024-12-07T16:25:47Z,https://github.com/supabase/supabase
bun,Zig,74586,2786,2021-04-14T00:48:17Z,2024-12-08T03:35:58Z,https://github.com/oven-sh/bun
Font-Awesome,JavaScript,74387,12211,2012-02-17T14:19:43Z,2024-11-22T18:04:16Z,https://github.com/FortAwesome/Font-Awesome
core,Python,74278,31210,2013-09-17T07:29:48Z,2024-12-07T21:31:11Z,https://github.com/home-assistant/core
json-server,JavaScript,73197,7042,2013-11-27T13:21:13Z,2024-09-24T10:33:10Z,https://github.com/typicode/json-server
mermaid,TypeScript,72926,6670,2014-11-01T23:52:32Z,2024-12-06T20:58:33Z,https://github.com/mermaid-js/mermaid
netdata,C,72432,5953,2013-06-17T18:39:10Z,2024-12-08T00:22:50Z,https://github.com/netdata/netdata
whisper,Python,72418,8629,2022-09-16T20:02:54Z,2024-12-01T05:47:01Z,https://github.com/openai/whisper
awesome-vue,,72316,9480,2015-10-20T00:16:14Z,2024-12-05T20:50:37Z,https://github.com/vuejs/awesome-vue
awesome-interview-questions,,71830,8904,2015-11-28T09:48:17Z,2024-07-29T14:21:23Z,https://github.com/DopplerHQ/awesome-interview-questions
manim,Python,71739,6292,2015-03-22T18:50:58Z,2024-12-07T15:15:00Z,https://github.com/3b1b/manim
v2rayN,C#,71163,11696,2019-07-30T03:47:24Z,2024-12-07T13:26:19Z,https://github.com/2dust/v2rayN
gpt4all,C++,71042,7725,2023-03-27T18:49:32Z,2024-12-07T00:29:55Z,https://github.com/nomic-ai/gpt4all
elasticsearch,Java,70960,24907,2010-02-08T13:20:56Z,2024-12-07T21:55:28Z,https://github.com/elastic/elasticsearch
